iso,country,region,year,traffic_eb,broadband_subs,mobile_broadband_penetration,cellular_subs,cov_5g,cov_4g,cov_3g,cov_2g,region_adoption_factor,5g_penetration_rate,5g_penetration_pct,estimated_5g_subscriptions,synthetic_5g_subscription_flag,gdp_per_capita,urbanization_rate,log_gdp_per_capita,mobile_traffic_per_sub,traffic_growth_rate
BEL,Belgium,Europe,2024,1.187,11583423.0,98.6766919137902,12197121.0,99.8,100.0,100.0,100.0,0.46,0.45908000000000004,45.908,5599454.308680001,True,56614.5679499036,87.6126557010527,10.94402161534754,8.539502240975459,31.2821931397669
BEN,Benin,Sub-Saharan Africa,2019,0.06444,2532296.0,19.8974208272258,10349847.0,0.0,45.0,80.0,98.0,0.0052,0.0,0.0,0.0,True,1130.82135339795,48.7125500590248,7.03069950908468,2.1206051741186656,
BEN,Benin,Sub-Saharan Africa,2020,0.093402,3299908.0,25.247630692457,11140891.0,0.0,46.0,80.0,98.0,0.026,0.0,0.0,0.0,True,1200.19426557789,49.4461567219896,7.090238710655221,2.3587021213924753,11.227783001744495
BEN,Benin,Sub-Saharan Africa,2021,0.138645,4336058.0,32.3262745055939,12731782.0,0.0,46.0,80.0,98.0,0.0832,0.0,0.0,0.0,True,1318.65158075198,50.1961807561354,7.184364963729967,2.6645745974800152,12.967829778648188
BEN,Benin,Sub-Saharan Africa,2022,0.20307,5629242.0,40.9116725962664,14549987.0,0.0,80.0,82.0,98.0,0.143,0.0,0.0,0.0,True,1266.42711031904,50.9627000010887,7.143954915727939,3.0061773858718457,12.820162314648531
BEN,Benin,Sub-Saharan Africa,2023,0.279884,7069113.0,50.096350132811,16373886.0,0.0,80.0,85.0,98.0,0.1976,0.0,0.0,0.0,True,1394.17784721831,51.7457922964593,7.240060163683709,3.2993766921913212,9.75322706163071
BEN,Benin,Sub-Saharan Africa,2024,0.3754,8291511.0,57.3302166313898,18214481.0,5.0,85.0,85.0,98.0,0.2392,0.01196,1.196,217845.19276,True,1485.38018885134,52.5455354818423,7.303426037897931,3.7729351541996787,14.35296742954919
BFA,Burkina Faso,Sub-Saharan Africa,2019,0.041255151,6441178.0,30.7279493818133,20364508.0,0.0,26.92,48.4,92.0,0.0052,0.0,0.0,0.0,True,764.853077774946,26.1187254401157,6.6396837601854255,0.5337423139059346,
BFA,Burkina Faso,Sub-Saharan Africa,2021,0.017631715,7927034.0,36.0397655074781,24678315.0,0.0,36.6,53.2,92.6,0.0832,0.0,0.0,0.0,True,895.535288442991,26.8114307743017,6.797421627137521,0.18535426785520703,
BFA,Burkina Faso,Sub-Saharan Africa,2022,0.250162,9233068.0,41.0193807483021,25659436.0,0.0,39.39,58.04,92.6,0.143,0.0,0.0,0.0,True,827.330843486661,27.2791369742712,6.718204667607621,2.2578446658611564,1118.1239158868002
BFA,Burkina Faso,Sub-Saharan Africa,2024,0.367923,13364299.0,56.7515532969626,27455428.0,0.0,63.7,79.6,93.0,0.2392,0.0,0.0,0.0,True,981.992649769081,28.3352514896662,6.889583823366251,2.294190664246587,
BGD,Bangladesh,South & Southeast Asia,2019,1.5,86066000.0,52.1887124096998,165572000.0,0.0,82.0,95.4,99.6,0.0092,0.0,0.0,0.0,True,2129.79896954606,30.8228396343012,7.663782873754545,1.4523737596728095,
BGD,Bangladesh,South & Southeast Asia,2020,3.57,97314834.0,58.5183345293387,176279465.0,0.0,97.8,97.8,99.62,0.046,0.0,0.0,0.0,True,2248.85078828233,31.1168927321524,7.718174603952346,3.0570878844637392,110.48906069140489
BGD,Bangladesh,South & Southeast Asia,2021,5.83,92659515.0,55.2666994848957,184444949.0,0.0,98.2,98.2,99.63,0.1472,0.0,0.0,0.0,True,2482.84917843357,31.3992156886061,7.817162041993389,5.24321040675999,71.50996650787258
BGD,Bangladesh,South & Southeast Asia,2022,7.53,95727965.0,56.5150534052632,186097327.0,0.0,98.5,98.5,99.63,0.253,0.0,0.0,0.0,True,2716.48592780431,31.673734726234,7.9070943857110185,6.555033317589067,25.019459626067352
BGD,Bangladesh,South & Southeast Asia,2023,9.46,106314908.0,62.003134247589,190810000.0,0.0,98.93,98.93,99.64,0.3496,0.0,0.0,0.0,True,2551.01773827307,32.1578465036834,7.844247671576308,7.415077980722452,13.120370583405494
BGD,Bangladesh,South & Southeast Asia,2024,14.5,98002085.0,56.46505540798,187581061.0,0.0,99.64,99.72,99.72,0.4232,0.0,0.0,0.0,True,2593.41611680774,32.6783196323307,7.860731249643071,12.329669652776603,66.27835452076152
BGR,Bulgaria,Europe,2019,0.231777927,7392515.0,105.978752109715,8134581.0,0.0,99.94,99.99,99.99,0.01,0.0,0.0,0.0,True,10353.7204584127,73.7162322998047,9.245101198682539,2.612754556466913,
BGR,Bulgaria,Europe,2020,0.317819,7391254.0,106.599725512616,7945739.0,0.0,99.85,99.99,99.99,0.05,0.0,0.0,0.0,True,10760.211975413,73.3239898681641,9.28361053383892,3.5832778398180696,37.145597199284694
